id,loan_status_2,loan_status,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,age,pay_status
1,Written off,1,35000.0,60,17.86,886.11,D5,4,MORTGAGE,"(72000.0, 80000.0]",Verified,2015-01-02 00:00:00,debt_consolidation,GA,22.2,740,744,18,0,31705,64.6,2,0,27,2
2,Written off,1,25000.0,60,14.85,592.79,C5,10,RENT,"(72000.0, 80000.0]",Not Verified,2016-01-01 00:00:00,debt_consolidation,CT,31.42,,709,14,0,38312,75.6,0,0,29,-1
3,Paid,0,5000.0,36,10.15,161.69,B2,,MORTGAGE,"(6694.0, 32500.0]",Verified,2014-01-05 00:00:00,debt_consolidation,FL,24.89,660,664,8,1,4859,51.1,3,1,33,0
4,Paid,0,22000.0,60,15.59,530.22,C5,10,MORTGAGE,"(72000.0, 80000.0]",Not Verified,2016-01-09 00:00:00,debt_consolidation,TX,15.8,675,679,15,1,17824,52.0,2,0,36,0
5,Paid,0,25000.0,36,6.89,770.68,A3,,OWN,"(52000.0, 60000.0]",Verified,2015-01-07 00:00:00,debt_consolidation,WI,16.01,,739,15,0,50115,37.9,2,0,56,-1
6,Paid,0,10400.0,36,18.45,378.34,D2,10,RENT,"(72000.0, 80000.0]",Not Verified,2018-01-06 00:00:00,other,CA,36.84,725,729,5,0,28652,88.4,0,0,36,0
7,Paid,0,10000.0,36,13.59,339.79,C2,2,MORTGAGE,"(52000.0, 60000.0]",Verified,2017-01-09 00:00:00,debt_consolidation,DE,27.0,695,699,11,1,10531,47.9,0,0,28,0
8,Written off,1,16000.0,60,10.49,343.83,B3,10,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2014-01-12 00:00:00,credit_card,MI,17.96,665,669,12,0,13789,50.0,0,0,26,0
9,Written off,1,12075.0,36,18.84,441.65,E2,0,RENT,"(32500.0, 40000.0]",Source Verified,2015-01-03 00:00:00,debt_consolidation,TX,17.28,665,669,5,0,7795,50.9,0,0,31,0
10,Paid,0,15000.0,36,7.59,467.22,A3,10,MORTGAGE,"(91000.0, 107000.0]",Not Verified,2016-01-10 00:00:00,debt_consolidation,MT,11.77,755,759,15,0,35233,42.5,3,0,33,0
11,Paid,0,25000.0,36,6.24,763.28,A2,10,MORTGAGE,"(107000.0, 133553.0]",Source Verified,2015-01-09 00:00:00,debt_consolidation,WA,16.45,720,724,15,0,28571,39.8,3,0,50,-1
12,Paid,0,10000.0,60,14.09,233.15,B5,3,MORTGAGE,"(46000.0, 52000.0]",Verified,2012-01-07 00:00:00,debt_consolidation,TX,19.56,710,714,15,0,9169,64.6,1,0,40,-1
